                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3615,                 3.3754,                 1.1096,                0.23795,                0.59681,                0.34324,                0.13216,                 2.0141,                 5.7897,                 1.0115,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 1.7417,                 1.4954,                0.94826,                0.73935,                 0.8015,                0.80211,                0.36374,                  1.652,                 1.4613,                0.96698,             0.00020148,             0.00020148,             0.00020148
                      3,                 1.6682,                 1.0454,                0.93284,                0.83969,                0.91197,                0.93435,                0.45247,                 1.5261,                 1.1159,                0.93504,             0.00030094,             0.00030094,             0.00030094
                      4,                 1.6305,                0.90624,                0.93453,                0.88175,                0.89728,                0.90666,                0.43913,                 1.5476,                0.86395,                0.94285,              0.0003464,              0.0003464,              0.0003464
                      5,                  1.591,                0.79407,                0.91809,                0.95482,                0.95548,                0.95798,                0.45143,                  1.567,                0.76978,                0.93989,              0.0003464,              0.0003464,              0.0003464
                      6,                 1.5799,                0.76412,                0.91665,                0.95257,                0.95657,                0.95593,                0.48119,                 1.5057,                0.71991,                0.92517,             0.00034286,             0.00034286,             0.00034286
                      7,                 1.5945,                0.74389,                0.91146,                0.96487,                0.96334,                0.96277,                0.48493,                 1.5288,                0.70058,                 0.9238,             0.00033933,             0.00033933,             0.00033933
                      8,                 1.5755,                0.72307,                0.91462,                0.96396,                0.96365,                0.96002,                0.48081,                 1.4918,                0.70624,                0.91735,             0.00033579,             0.00033579,             0.00033579
                      9,                 1.5609,                0.72223,                0.90803,                0.95399,                0.95059,                0.94876,                0.47748,                 1.5184,                0.68451,                0.92063,             0.00033226,             0.00033226,             0.00033226
                     10,                 1.5084,                0.68628,                0.90093,                0.96985,                0.96475,                0.97039,                0.49573,                 1.4682,                0.66321,                0.91704,             0.00032873,             0.00032873,             0.00032873
                     11,                 1.5043,                0.67794,                0.89469,                0.96741,                0.96697,                0.96522,                0.49435,                 1.4571,                0.67072,                0.91818,             0.00032519,             0.00032519,             0.00032519
